"";"Blood rage";"Dark Souls";"Days gone";"Hellblade";"Henri de Toulouse-Lautrec";"Paul Cézanne";"Paul Gauguin";"Plague tale";"Runewars";"Sekiro";"Sims 4 Psy i Koty";"Sims 4 Witaj w pracy";"Sims 4 Wyspiarskie ¯ycie";"Sims 4";"Skyrim";"Small world";"Talisman";"Tomb Rider";"Vincent van Gogh";"WiedŸmin 3"
"dwa";0;0;0;0,0110497237569061;0;0;0;0;0,00943396226415094;0;0;0;0;0;0,010989010989011;0,00925925925925926;0;0,0152671755725191;0;0
"dwie";0;0;0;0;0;0;0,0270986692491704;0;0;0;0;0;0;0;0,0150382724954187;0,0126711370100287;0;0;0;0
"dwóch";0;0;0;0;0;0;0;0;0;0;0,016999786299169;0;0;0;0;0,0253422740200575;0;0;0;0,0153762112031809
"dynamiczny";0;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0;0,0182523521697108;0;0;0;0;0
"dzia³a";0;0;0;0;0;0;0;0;0;0;0,0206330937570644;0;0;0,0201328975447719;0;0;0;0;0;0
"dzia³aæ";0;0;0,0203799269624992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0253582297319646;0;0
"dzia³anie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0307585934711793;0;0;0;0,0186625173870077
"dzieci";0;0;0;0;0;0,0208926295275935;0,0328903771771026;0;0;0;0;0;0;0;0;0;0;0;0;0
"dziecko";0;0;0;0;0;0,0208926295275935;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0186625173870077
"dzieliæ";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0182523521697108;0;0;0;0;0
"dzielnica";0;0;0;0;0,0276827341240614;0;0;0;0;0;0,0206330937570644;0;0;0;0;0;0;0;0;0
"dzie³o";0;0,0102779029240604;0,0106562306390565;0,0191929899907868;0;0,010924311912995;0;0;0;0;0;0;0;0;0,00954376700091322;0;0;0;0,0723735664235919;0
"dzieñ";0;0;0,0167911999642099;0;0;0,0172136200890956;0;0;0;0;0,016999786299169;0;0;0;0;0;0;0;0;0
"dziesi¹tki";0;0,0196563792596885;0,0203799269624992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dziewczyna";0;0;0;0,0367063877888106;0;0;0;0,0186625173870077;0;0;0;0;0;0;0;0;0;0;0;0
"dziêki";0;0;0,00810998831219241;0,00730347013749924;0;0,0166280263507844;0;0,00742656233082788;0;0,00852856835411202;0;0,0066428547481777;0;0;0;0,00612003747633038;0;0;0,0110160674573947;0
"edytor";0;0;0;0;0;0;0;0;0;0;0,0206330937570644;0;0;0,0402657950895438;0;0;0;0;0;0
"efekt";0;0;0,0167911999642099;0,0151213568738464;0;0;0;0;0;0;0,016999786299169;0;0;0;0;0;0;0;0;0
"ekran";0;0,0196563792596885;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"eksploracja";0;0,0196563792596885;0;0;0;0;0;0;0;0;0;0,0166931060044591;0;0;0;0;0;0;0;0
"element";0;0,00782205973306132;0;0;0;0;0;0;0,00623550988154416;0,00852856835411202;0,0164214670172343;0,0132857094963554;0,00986513503647285;0,00801168542355977;0;0,00612003747633038;0;0;0;0
"elf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0182523521697108;0,0153792967355896;0;0;0;0
"epoka";0,0442923745984982;0;0;0;0;0;0,0328903771771026;0;0;0;0;0;0;0;0;0;0;0;0;0
"era";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0365047043394216;0;0;0;0;0
"etap";0;0;0;0,0183531938944053;0;0;0;0;0,0156694721456951;0;0;0;0;0;0;0;0;0;0;0
"ewentualny";0,0121642915296276;0;0;0;0;0;0;0,0153762112031809;0;0;0;0;0;0;0;0;0,0158206103709029;0;0;0
"fabularny";0;0;0,0167911999642099;0;0;0;0;0;0;0;0;0;0;0;0,0300765449908374;0;0;0;0;0,0153762112031809
"fabu³a";0;0;0;0,0302427137476929;0;0;0;0;0;0;0;0;0;0;0,0150382724954187;0;0;0;0;0,0307524224063619
"fakt";0;0;0;0,0151213568738464;0;0,0344272401781913;0;0;0;0,0353156850860156;0;0;0;0;0;0;0;0;0;0
"fan";0;0;0;0;0;0;0;0;0;0,0149801812573378;0,0288438272656815;0;0,017327821603637;0,0140722914841658;0;0;0;0;0;0
"figurka";0,0364928745888827;0;0;0;0;0;0;0;0,0516408602672869;0;0;0;0;0;0;0;0,0158206103709029;0;0;0
"firma";0;0;0;0;0;0;0;0;0;0;0,016999786299169;0;0;0;0,0150382724954187;0;0;0;0,0228080466180517;0
"fragment";0;0;0;0;0;0;0;0;0;0,0214317941605636;0;0;0,0247905081708012;0;0;0;0;0;0;0
"francji";0;0;0;0;0;0;0,0657807543542052;0;0;0;0;0;0;0;0;0;0;0;0,0276827341240614;0
"francuski";0;0;0;0;0,038698801581456;0,0146033213514928;0,0689681612342781;0;0;0;0;0;0;0;0;0;0;0;0,019349400790728;0
"from";0;0,016195062687374;0;0,0151213568738464;0;0;0;0;0;0,0529735276290233;0;0;0;0;0;0;0;0;0;0
"genialny";0;0;0;0;0,0276827341240614;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0;0;0
"gin";0;0;0;0;0;0;0;0,0186625173870077;0;0,0214317941605636;0;0;0;0;0;0;0;0;0;0
"g³owa";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0,0253582297319646;0;0
"g³ówny";0;0;0;0,0331491712707182;0;0;0;0,0224719101123595;0;0;0;0,0100502512562814;0;0;0,021978021978022;0;0;0;0;0,0112359550561798
"godzina";0;0,00896197143686247;0,00929185995601079;0;0;0;0;0;0;0;0,0188145735755249;0,0076109204664812;0;0;0,0166436612398875;0,00701191283717481;0;0,0115616272735096;0;0
"górny";0;0;0;0;0,0276827341240614;0;0;0;0;0;0;0;0;0;0,0182523521697108;0;0;0;0;0
"gra";0,00276217056331676;0;0,0190640606363887;0;0;0;0;0,0104745232035888;0,0146577447345818;0,0320768194449688;0;0,00312305716957925;0,00927594592158612;0,022599577336228;0,0204886278048221;0,00863178301036486;0,00718483672539041;0,00948837216406519;0;0,00698301546905922
"gracz";0,015360041245934;0,0204497590552376;0,00706750364076718;0,00636465797483453;0;0;0;0;0,0217359074234915;0;0;0;0;0,01396367385994;0,00632968732662115;0,0533334765483819;0,0466128419313026;0;0;0
"graæ";0,0147641248661661;0,0196563792596885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grafika";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,055987552161023
"grobowiec";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0253582297319646;0;0,0186625173870077
"grupa";0;0;0,0167911999642099;0;0;0;0;0;0;0;0;0;0;0;0;0,0126711370100287;0;0;0;0,0153762112031809
"handlowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0153792967355896;0;0;0,0276827341240614;0
"he³m";0;0;0;0;0;0;0;0,0373250347740153;0;0;0;0;0;0;0;0;0;0,0507164594639292;0;0
"henri";0;0;0;0;0,110730936496245;0;0,0328903771771026;0;0;0;0;0;0;0;0;0;0;0;0;0
"historia";0;0;0;0;0;0;0;0;0;0,0176578425430078;0;0;0;0;0,0300765449908374;0;0;0;0,0228080466180517;0
"identyczny";0,0121642915296276;0,016195062687374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0208928671310397;0;0
"ile";0,00771984708518314;0;0,0106562306390565;0,00959649499539341;0;0;0;0;0;0;0;0,00872847032244325;0;0;0,0190875340018264;0;0,0100402635500937;0;0;0
"iloœæ";0;0;0;0;0;0;0;0;0;0;0,0144219136328408;0;0;0,0281445829683317;0;0;0,0268430993628597;0,0177246419457051;0;0
"imiê";0;0,0196563792596885;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"impresjonista";0;0;0;0;0;0;0,0657807543542052;0;0;0;0;0;0;0;0;0;0;0;0,0276827341240614;0
"informacja";0;0;0,0167911999642099;0,0151213568738464;0;0;0;0;0;0;0;0,013753595950584;0;0;0;0;0;0;0;0
"inny";0,00327540264073869;0,00872148632149356;0;0,00407163311694037;0,00614137995138505;0;0;0,00414025614700116;0,00347625280267078;0;0,00915485210144355;0,00370334469430254;0,00549974324004631;0;0,00809852301281545;0,00682375550153895;0,00425991672928443;0;0;0
"instrukcja";0;0;0;0;0;0;0;0;0,0129102150668217;0;0;0;0;0;0;0,0126711370100287;0,0158206103709029;0;0;0
"interesowaæ";0;0;0;0;0;0,0208926295275935;0,0328903771771026;0;0;0;0;0;0;0;0;0;0;0;0;0
"interfejs";0;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0;0;0
"istnieæ";0,0121642915296276;0;0;0;0;0;0;0;0,0129102150668217;0;0;0,013753595950584;0;0;0;0;0;0;0;0
"istota";0,0121642915296276;0;0;0;0;0;0;0;0;0;0;0;0,0204251163743747;0;0;0;0;0,0208928671310397;0;0
"istotny";0,0121642915296276;0,016195062687374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0228080466180517;0
"jaki";0;0;0;0;0;0;0;0;0;0,0176578425430078;0;0;0;0;0;0;0;0,0208928671310397;0,0228080466180517;0
"jakiegokolwiek";0,0147641248661661;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jakieœ";0;0;0,0203799269624992;0;0;0;0;0,0186625173870077;0;0;0;0;0;0;0;0;0;0;0;0
"jakoœæ";0;0;0,0142449576373458;0;0;0;0;0;0;0;0;0;0;0,0140722914841658;0,0127578466752053;0;0;0;0;0,0130445398589178
"jeden";0,0229999060333351;0,00510352944526666;0;0,00476517390193406;0;0;0,0256187072153485;0,00484548582162958;0,00406837960495314;0,0111289867903234;0,0053571209704973;0;0;0;0;0,0199651962094922;0,00498552876445124;0;0;0,00969097164325916
"jednego";0,00888888888888889;0;0;0;0;0;0;0,0112359550561798;0;0,0129032258064516;0,0124223602484472;0;0;0;0;0;0;0;0,0166666666666667;0
"jednoczesny";0;0;0;0,00959649499539341;0;0,010924311912995;0,0171976791501605;0;0;0;0;0;0;0;0;0,0080415073803991;0;0,0132592793447802;0;0,00975823367509105
"jednostka";0,118112998929328;0;0;0;0;0;0;0;0,0783473607284755;0;0;0;0;0;0;0;0;0;0;0
"kampania";0;0;0,0203799269624992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0507164594639292;0;0
"kart";0,0103196804217216;0;0;0;0;0;0;0;0,0219049820272393;0;0;0;0;0;0;0,01074966710596;0,0402646490442895;0;0;0
"karta";0,0608214576481379;0;0;0;0;0;0;0;0,0903715054677521;0;0;0;0;0;0;0;0,0316412207418059;0;0;0
"ka¿dy";0,0383331767222251;0,0204141177810666;0,00529138942484703;0,00476517390193406;0;0;0;0,00484548582162958;0,0203418980247657;0,0111289867903234;0,0160713629114919;0;0,0064365408675378;0,00522725137121252;0;0,0159721569675938;0;0;0;0
"kilka";0;0;0;0;0;0,0251572327044025;0;0;0,00943396226415094;0;0;0,0100502512562814;0;0,0121212121212121;0;0;0;0;0,0166666666666667;0
"kilkanaœcie";0;0;0;0;0,0228080466180517;0;0;0;0;0;0;0;0;0;0,0150382724954187;0,0126711370100287;0;0;0;0
"kilkoma";0;0,016195062687374;0,0167911999642099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0208928671310397;0;0
"klimat";0;0,016195062687374;0,0167911999642099;0;0;0;0;0;0;0,0176578425430078;0;0;0;0;0;0;0;0;0;0
"kluczowy";0;0;0;0;0;0;0;0;0,0156694721456951;0,0428635883211273;0;0;0;0;0;0;0;0;0;0
"kolej";0;0;0;0;0;0;0;0;0;0;0;0,0166931060044591;0;0;0,0182523521697108;0;0;0;0;0
"kolejny";0;0,0156441194661226;0;0;0;0;0,0130883969790828;0;0;0,00852856835411202;0,00821073350861716;0;0,0197302700729457;0,00801168542355977;0;0,0122400749526608;0,00764120286062059;0;0;0
"kombinowaæ";0;0;0,0203799269624992;0;0;0;0;0;0;0;0;0;0;0;0,0182523521697108;0;0;0;0;0
"koniec";0,00383331767222251;0;0,0211655576993881;0;0;0,010849012279875;0,00853956907178282;0,00484548582162958;0,00406837960495314;0,00556449339516171;0,0053571209704973;0,0086683062939705;0;0;0,00947798325549522;0;0,00498552876445124;0;0;0
"konkretny";0;0;0;0;0;0;0;0;0,0156694721456951;0;0;0,0166931060044591;0;0;0;0;0;0;0;0
"konsekwencja";0;0;0;0;0;0,0208926295275935;0;0,0186625173870077;0;0;0;0;0;0;0;0;0;0;0;0
"koñczyæ";0;0;0;0;0;0;0;0;0,0129102150668217;0;0;0;0;0;0;0,0126711370100287;0;0,0208928671310397;0;0
"koszt";0;0;0;0;0;0;0,0328903771771026;0;0;0;0;0;0;0,0201328975447719;0;0;0;0;0;0
"koœci";0;0;0;0;0,0276827341240614;0;0;0;0,0156694721456951;0;0;0;0;0;0;0;0;0;0;0
"kraina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0768075860089563;0;0;0,0186625173870077
